beneficiary_id,full_name,father_or_husband_name,gender,date_of_birth,cnic,phone_number,marital_status,household_size,monthly_income_pkr,address_line,city,province,bank_account_number,welfare_program,registration_date,registration_channel,status,gender_clean,status_clean,date_of_birth_clean,dob_parse_failed,registration_date_clean,reg_date_parse_failed,monthly_income_clean,income_flag,phone_missing,address_missing,is_duplicate_row,data_quality_flags
BEN-000001,Alexander Hill,Noah Rhodes,Male,2001-05-23,27680-4025016-8,0333-2580863,Married,5,5000.0,600 Jeffery Parkways,sialkot,Punjab,PK2713332041902683,Disability Support Program,2019-10-12,In-Person Center,Active,Male,Active,2001-05-23,False,2019-10-12,False,5000.0,False,False,False,False,
BEN-000002,Kristina Baldwin,Jason Cole,Female,1959-08-22,12633-2296617-2,0345-3965687,Married,4,25000.0,65423 Garcia Light,Bahawalpur,Punjab,PK8840957248611757,Flood Relief Assistance,2025-07-18,NGO Referral,Active,Female,Active,1959-08-22,False,2025-07-18,False,25000.0,False,False,False,False,
BEN-000003,Ryan Munoz,Nicholas Herrera,Male,2006-11-23,01674-0395980-1,0310-7321077,Married,2,25000.0,84959 Janet Cape Apt. 413,Larkana,Sindh,PK5168513199954139,Widow & Orphan Support Program,2021-09-07,In-Person Center,Active,Male,Active,2006-11-23,False,2021-09-07,False,25000.0,False,False,False,False,
BEN-000004,James Chavez,Christopher Kelly,Male,1986-04-18,07714-5284257-3,0310-3638420,Single,8,25000.0,283 Steven Groves,Sialkot,Punjab,PK5220629802621954,Flood Relief Assistance,2023-07-26,Mobile Registration Van,Active,Male,Active,1986-04-18,False,2023-07-26,False,25000.0,False,False,False,False,
BEN-000005,Mark Hawkins DDS,Ricardo Perez,M,1942-11-27,47690-4382144-4,0345-2948509,Single,7,12000.0,4139 Lewis Parks Suite 724,Gwadar,Balochistan,PK9981424039274499,Elderly Pension Program,2024-06-16,Mobile Registration Van,Actve,Male,Active,1942-11-27,False,2024-06-16,False,12000.0,False,False,False,False,
BEN-000006,Natasha Ryan,Jeffrey Silva,Female,1965-05-03,70558-1901562-1,0303-5006532,Widowed,9,0.0,710 Eric Estate,Karachi,Sindh,PK2362370499022988,Widow & Orphan Support Program,2022-03-13,Mobile Registration Van,Inactive,Female,Inactive,1965-05-03,False,2022-03-13,False,0.0,False,False,False,False,
BEN-000007,Jennifer  Brown,Zachary Rice,Female,2006-10-03,91828-7122368-8,0345-2906803,Married,9,8000.0,184 Rodriguez Mews,Sialkot,Punjab,PK6275400895851138,Cash Transfer Program,2023-01-05,Mobile Registration Van,Active,Female,Active,2006-10-03,False,2023-01-05,False,8000.0,False,False,False,False,
BEN-000008,aaron bowen,Wesley Gill,Male,1975-03-31,89880-7398882-1,0333-8828437,Married,3,5000.0,489 Eric Track,Swat,Khyber Pakhtunkhwa,PK2632073568308259,Cash Transfer Program,2020-03-20,NGO Referral,Active,Male,Active,1975-03-31,False,2020-03-20,False,5000.0,False,False,False,False,
BEN-000009,Tiffany Nielsen,Kyle Burns,Female,30/04/1948,35270-9577630-5,0320-6195636,Married,9,-5000.0,3039 Christopher Oval Apt. 822,Sibi,Balochistan,PK1637154832763465,Disability Support Program,2019-12-14,Online Portal,Suspended,Female,Suspended,1948-04-30,False,2019-12-14,False,,True,False,False,False,income_flag
BEN-000010,Theresa Martin  ,Lawrence Brandt,Female,21/11/2003,38109-6748573-6,0303-1688872,Divorced,4,20000.0,465 Lam Mission,Bahawalpur,Punjab,PK0284869598675858,Flood Relief Assistance,2024-01-18,Online Portal,Active,Female,Active,2003-11-21,False,2024-01-18,False,20000.0,False,False,False,False,
BEN-000011,Courtney Morgan,David Robinson,Female,1945-07-20,47238-0131243-7,0333-0837908,Divorced,4,8000.0,10518 Joshua Oval,SIBI,Balochistan,PK4923885778424367,Disability Support Program,2024-03-29,Mobile Registration Van,Suspended,Female,Suspended,1945-07-20,False,2024-03-29,False,8000.0,False,False,False,False,
BEN-000012,Carlos Walls,John Mueller,Male,19/08/1995,61403-2373782-1,,Single,1,0.0,16566 Shields Center,Sibi,Balochistan,PK9101165267167189,Cash Transfer Program,2025-06-28,In-Person Center,Active,Male,Active,1995-08-19,False,2025-06-28,False,0.0,False,True,False,False,phone_missing
BEN-000013,Victoria Garcia,Gerald Hensley,Female,18/08/1957,58263-6875056-1,,Married,4,0.0,726 Joshua Gateway,Sibi,Balochistan,PK4792854472880824,Elderly Pension Program,2023-04-02,Online Portal,Active,Female,Active,1957-08-18,False,2023-04-02,False,0.0,False,True,False,False,phone_missing
BEN-000014,Angela Morton,Brent Pearson,Female,1977-06-25,32258-5512452-7,0345-4024263,Widowed,8,5000.0,32677 Michelle Circle,Mardan,Khyber Pakhtunkhwa,PK4737221115712479,Elderly Pension Program,2025-09-10,Online Portal,Active,Female,Active,1977-06-25,False,2025-09-10,False,5000.0,False,False,False,False,
BEN-000015,Aaron Myers,Richard Mitchell,Male,1988-02-03,37100-2967102-7,0345-3928104,Single,6,5000.0,34309 Julie Centers Apt. 978,MARDAN,Khyber Pakhtunkhwa,PK1890254567392545,Cash Transfer Program,2025-11-02,In-Person Center,Active,Male,Active,1988-02-03,False,2025-11-02,False,5000.0,False,False,False,False,
BEN-000016,Joseph Brown,Samuel Jones,Male,1945-05-05,10045-2277469-9,0303-4569801,Widowed,3,,1939 Christine Manor,Peshawar,Khyber Pakhtunkhwa,PK5894434254587602,Elderly Pension Program,2025-08-01,In-Person Center,Active,Male,Active,1945-05-05,False,2025-08-01,False,,True,False,False,False,income_flag
BEN-000017,Keith Stewart,Michael Edwards,male,14/10/1958,42948-9443114-7,0310-6470021,Divorced,9,20000.0,,Larkana,Sindh,PK8808405644021284,Cash Transfer Program,2025-10-29,Mobile Registration Van,Active,Male,Active,1958-10-14,False,2025-10-29,False,20000.0,False,False,True,False,address_missing
BEN-000018,Dr. Angel Lewis MD,Stanley Suarez,Female,1965-11-06,28196-1927444-7,0302-3958827,Divorced,7,0.0,8498 Elizabeth Plaza,Gujranwala,Punjab,PK3720785684437398,Disability Support Program,2025-05-31,NGO Referral,Active,Female,Active,1965-11-06,False,2025-05-31,False,0.0,False,False,False,False,
BEN-000019,Mary Mcmillan,Brian Rodriguez,Female,05/05/1978,93976-1919318-1,0345-0189072,Divorced,8,20000.0,9353 Wagner Glen Apt. 164,FAISALABAD,Punjab,PK6888337780069974,Cash Transfer Program,2020-02-16,NGO Referral,Active,Female,Active,1978-05-05,False,2020-02-16,False,20000.0,False,False,False,False,
