beneficiary_id,full_name,father_or_husband_name,gender,date_of_birth,cnic,phone_number,marital_status,household_size,monthly_income_pkr,address_line,city,province,bank_account_number,welfare_program,registration_date,registration_channel,status,gender_clean,status_clean,date_of_birth_clean,dob_parse_failed,registration_date_clean,reg_date_parse_failed,monthly_income_clean,income_flag,phone_missing,address_missing,is_duplicate_row,data_quality_flags
BEN-000001,Jeffrey Walton,Cody Smith,M,1999-11-05,03468-7831944-0,0303-0093616,Single,7,0.0,16638 Rhonda Passage,Sibi,Balochistan,PK0690252689295763,Disability Support Program,2019-04-10,In-Person Center,Suspended,Male,Suspended,1999-11-05,False,2019-04-10,False,0.0,False,False,False,False,
BEN-000002,Michael Harrison,Chad Ross,Male,25/01/1980,92449-3600960-6,0310-9190613,Widowed,8,20000.0,7834 Kelsey Motorway,Hyderabad,Sindh,PK6996855092551846,Disability Support Program,2023-08-16,In-Person Center,Active,Male,Active,1980-01-25,False,2023-08-16,False,20000.0,False,False,False,False,
BEN-000003,Adam Merritt,Martin Green,Male,2001-02-21,92025-0493402-1,0345-6399951,Married,2,,68105 Nixon Pass,Karachi,Sindh,PK5725615335184778,Disability Support Program,2019-04-28,Online Portal,Active,Male,Active,2001-02-21,False,2019-04-28,False,,True,False,False,False,income_flag
BEN-000004,Elizabeth Avery,Stephen Park,Female,1979-07-08,45948-4173354-3,0300-2286129,Single,8,20000.0,600 Kelly Isle Suite 352,Swat  ,Khyber Pakhtunkhwa,PK3024329651525933,Disability Support Program,2024-02-12,NGO Referral,Inactive,Female,Inactive,1979-07-08,False,2024-02-12,False,20000.0,False,False,False,False,
BEN-000005,Danny Johnson  ,Michael Martin DVM,Male,1982-09-16,69499-1612446-3,0333-9349102,Married,2,15000.0,037 Julie Ferry Apt. 179,Sibi,Balochistan,PK9875201316155033,Widow & Orphan Support Program,2022-06-09,Mobile Registration Van,Inactive,Male,Inactive,1982-09-16,False,2022-06-09,False,15000.0,False,False,False,False,
BEN-000006,James Odom  ,Jamie Sharp,Male,2002-07-05,12324-3387523-7,0345-7253329,Widowed,6,20000.0,6771 Michele Spring Suite 843,Gwadar,Balochistan,PK3128880517430265,Flood Relief Assistance,2020-11-13,In-Person Center,Active,Male,Active,2002-07-05,False,2020-11-13,False,20000.0,False,False,False,False,
BEN-000007,Cheryl Oconnor,Matthew Decker,Female,1979-02-02,06310-7089665-6,0333-7155857,Divorced,2,20000.0,202 Fisher Dale Apt. 331,Sibi,Balochistan,PK2270945560462584,Elderly Pension Program,2025-04-14,In-Person Center,Suspended,Female,Suspended,1979-02-02,False,2025-04-14,False,20000.0,False,False,False,False,
BEN-000008,Raymond Vasquez,John Howard,Male,1992-07-09,52890-1043379-4,0333-9640728,Single,2,12000.0,579 Rebecca Plains Apt. 816,Multan  ,Punjab,PK1377083307012897,Disability Support Program,2020-02-29,NGO Referral,Active,Male,Active,1992-07-09,False,2020-02-29,False,12000.0,False,False,False,False,
BEN-000009,Brenda Patel,Wayne Davis MD,Female,1979-06-21,64891-8663791-6,0310-4342476,Married,8,20000.0,78830 Stevens Row Apt. 123,Swat,Khyber Pakhtunkhwa,PK7253106468157431,Flood Relief Assistance,2025-07-01,Mobile Registration Van,Active,Female,Active,1979-06-21,False,2025-07-01,False,20000.0,False,False,False,False,
BEN-000010,  Alexis Copeland,James Bell,Female,1957-05-03,07728-0580928-2,0301-3420106,Widowed,3,15000.0,61352 Amber Curve Suite 198,Hyderabad,Sindh,PK1271788441058714,Elderly Pension Program,2021-05-24,Mobile Registration Van,Active,Female,Active,1957-05-03,False,2021-05-24,False,15000.0,False,False,False,False,
BEN-000011,Shannon Valentine,Tracy Price,Female,2003-11-17,08734-7184320-7,0310-2135213,Married,9,12000.0,367 Wilson Plaza Suite 780,Larkana,Sindh,PK0003086486446905,Cash Transfer Program,2025-09-04,NGO Referral,Inactive,Female,Inactive,2003-11-17,False,2025-09-04,False,12000.0,False,False,False,False,
BEN-000012,Daniel Clark,James Kirk,Male,1953-05-26,73135-6831560-4,0333-3103822,Widowed,4,12000.0,489 Derek Rapid Suite 691,Sibi,Balochistan,PK4796636070827870,Flood Relief Assistance,2020-05-30,Online Portal,Active,Male,Active,1953-05-26,False,2020-05-30,False,12000.0,False,False,False,False,
BEN-000013,Ronald Harmon,Bryan Thompson,M,2000-04-08,25398-8351327-8,0300-2440204,Married,3,15000.0,7537 Edgar Springs Apt. 355,Faisalabad,Punjab,PK4135566784556173,Elderly Pension Program,2019-11-07,In-Person Center,Inactive,Male,Inactive,2000-04-08,False,2019-11-07,False,15000.0,False,False,False,False,
BEN-000014,Lisa Martin,Scott West,Female,1949-05-31,81798-2736421-8,0320-8444404,Married,6,12000.0,78968 Cook Spring Apt. 403,Faisalabad,Punjab,PK7875811382718213,Flood Relief Assistance,2020-01-05,Mobile Registration Van,Active,Female,Active,1949-05-31,False,2020-01-05,False,12000.0,False,False,False,False,
BEN-000015,Beth Gonzalez,Bradley Montes,Female,1951-09-28,86922-8898832-9,0302-8598883,Married,1,0.0,816 Miller Cliff Suite 886,Sibi,Balochistan,PK2182343724136817,Elderly Pension Program,2025-01-17,Online Portal,Active,Female,Active,1951-09-28,False,2025-01-17,False,0.0,False,False,False,False,
BEN-000016,Amanda Turner,Mark Atkinson,Female,2008-01-31,87675-3800027-3,0345-9511293,Single,2,25000.0,0393 Phillip Forge,Hyderabad,Sindh,PK8468359320511378,Cash Transfer Program,2025-10-06,NGO Referral,Active,Female,Active,2008-01-31,False,2025-10-06,False,25000.0,False,False,False,False,
BEN-000017,Robert Young,Anthony Spears,Male,1997-10-16,61659-2337159-2,0303-1891225,Married,3,5000.0,8619 Walker Prairie Suite 493,swat,Khyber Pakhtunkhwa,PK5345820456124500,Flood Relief Assistance,2024-03-24,In-Person Center,Suspended,Male,Suspended,1997-10-16,False,2024-03-24,False,5000.0,False,False,False,False,
BEN-000018,Martin Elliott  ,Jose Wilson,Male,1956-08-24,30660-8589195-4,0345-4650453,Divorced,1,0.0,274 Melissa Mall,Abbottabad,Khyber Pakhtunkhwa,PK2019081234314517,Widow & Orphan Support Program,2024-03-14,NGO Referral,Active,Male,Active,1956-08-24,False,2024-03-14,False,0.0,False,False,False,False,
BEN-000019,Michael Pope,James Perez,Male,1967-10-21,04449-6694300-5,0333-0660281,Married,1,5000.0,156 Hall Gardens Suite 062,Gwadar,Balochistan,PK8541001135171259,Disability Support Program,2024-12-12,Online Portal,Active,Male,Active,1967-10-21,False,2024-12-12,False,5000.0,False,False,False,False,
BEN-000020,  Craig Jacobs,Mark Smith,Male,1989-10-30,08800-5251613-9,0320-5859959,Single,3,25000.0,0360 Maria Roads Apt. 190,Mardan,Khyber Pakhtunkhwa,PK9478814230184015,Flood Relief Assistance,2019-03-07,Online Portal,Active,Male,Active,1989-10-30,False,2019-03-07,False,25000.0,False,False,False,False,
BEN-000021,Alex Coffey,Michael Collins,MALE,1951-06-01,08099-0081835-5,0333-3091102,Widowed,3,5000.0,6008 Newman Mills,Karachi,Sindh,PK2585151835260393,Widow & Orphan Support Program,2021-04-13,In-Person Center,Suspended,Male,Suspended,1951-06-01,False,2021-04-13,False,5000.0,False,False,False,True,is_duplicate_row
BEN-000022,Alex Green,Kevin Smith,Male,2003-01-08,64023-7784814-4,0320-4994565,Single,9,0.0,325 Angela Junction Apt. 815,Sukkur,Sindh,PK4743511263944130,Widow & Orphan Support Program,2025-09-21,NGO Referral,Active,Male,Active,2003-01-08,False,2025-09-21,False,0.0,False,False,False,False,
BEN-000023,Cheryl Armstrong,Roy Dunn,Female,1987-11-05,18652-4539472-2,0303-0643688,Divorced,7,25000.0,87346 Allen Inlet,Abbottabad,Khyber Pakhtunkhwa,PK3607754844910518,Flood Relief Assistance,2020-08-01,Mobile Registration Van,Active,Female,Active,1987-11-05,False,2020-08-01,False,25000.0,False,False,False,False,
BEN-000024,James Jones,Bradley Hanson,MALE,1995-05-06,68678-8480420-7,0345-8528927,Widowed,4,0.0,83708 Heather Unions,Mardan,Khyber Pakhtunkhwa,PK8301594883299640,Cash Transfer Program,2025-05-28,Online Portal,Suspended,Male,Suspended,1995-05-06,False,2025-05-28,False,0.0,False,False,False,False,
BEN-000025,Rebecca Gonzalez,Brad Mcguire,female,2006-07-30,57108-8464326-8,0345-5508417,Widowed,8,999999.0,59741 Marvin Villages,Sialkot,Punjab,PK6121917839504992,Cash Transfer Program,2025-06-06,Online Portal,Inactive,Female,Inactive,2006-07-30,False,2025-06-06,False,,True,False,False,False,income_flag
BEN-000026,Katherine Frederick,Justin Phillips,Female,1980-02-07,54758-7645400-8,0320-1701373,Married,6,25000.0,21995 Wallace Lake Suite 926,Larkana,Sindh,PK4702466858906997,Cash Transfer Program,2025-02-19,Mobile Registration Van,Active,Female,Active,1980-02-07,False,2025-02-19,False,25000.0,False,False,False,False,
BEN-000027,STACIE LAWRENCE,Michael Ramos,Female,1943-04-06,91729-1381309-0,0310-6057464,Widowed,4,15000.0,,Rawalpindi,Punjab,PK4775160291772758,Flood Relief Assistance,2023-11-06,NGO Referral,Active,Female,Active,1943-04-06,False,2023-11-06,False,15000.0,False,False,True,False,address_missing
BEN-000028,David Soto,George Spencer,Male,2003-12-28,27894-8508226-9,0303-4769772,Married,4,20000.0,5514 Carter Throughway Apt. 902,Sibi,Balochistan,PK1561880411375296,Flood Relief Assistance,2025-09-19,Online Portal,Active,Male,Active,2003-12-28,False,2025-09-19,False,20000.0,False,False,False,False,
BEN-000029,Emma Miranda,Adam Warren,Female,10/06/1992,67997-4469285-0,0300-8667228,Married,9,25000.0,2710 Sandy Branch,Larkana,Sindh,PK7398704652524767,Elderly Pension Program,2020-06-24,Online Portal,Active,Female,Active,1992-06-10,False,2020-06-24,False,25000.0,False,False,False,False,
BEN-000030,David Bryant,James Carpenter,Male,1975-11-13,46578-2390877-1,,Single,6,20000.0,84205 Julie Extension Suite 572,Sialkot,Punjab,PK4049116813942108,Elderly Pension Program,2025-05-29,In-Person Center,Inactive,Male,Inactive,1975-11-13,False,2025-05-29,False,20000.0,False,True,False,False,phone_missing
BEN-000031,LINDSAY GONZALEZ,Lucas Lewis,F,2004-09-26,54976-0250540-7,0320-2416733,Married,4,12000.0,114 Frazier Divide,Abbottabad,Khyber Pakhtunkhwa,PK8422827655704002,Disability Support Program,2022-12-06,Mobile Registration Van,Active,Female,Active,2004-09-26,False,2022-12-06,False,12000.0,False,False,False,False,
BEN-000032,Eric Stark,Gregory Ward,Male,1964-05-20,73807-5933452-7,0300-2923012,Married,2,15000.0,01115 Lori Extensions,Mardan,Khyber Pakhtunkhwa,PK5262975817768441,Cash Transfer Program,2022-11-19,In-Person Center,Inactive,Male,Inactive,1964-05-20,False,2022-11-19,False,15000.0,False,False,False,False,
BEN-000033,Debra Dunn,Clifford Spence,Female,1963-01-04,68077-1785788-8,0333-1028856,Widowed,1,20000.0,638 Adams Garden Suite 437,Faisalabad,Punjab,PK8982117179206318,Flood Relief Assistance,2019-02-14,Online Portal,Suspended,Female,Suspended,1963-01-04,False,2019-02-14,False,20000.0,False,False,False,False,
BEN-000034,LISA BROWN,Benjamin Ramirez,Female,1956-12-03,23914-1879257-5,0310-5538232,Widowed,8,0.0,744 Sanchez Drive Apt. 721,Lahore,Punjab,PK9296444075635372,Disability Support Program,2023-09-14,In-Person Center,Suspended,Female,Suspended,1956-12-03,False,2023-09-14,False,0.0,False,False,False,False,
BEN-000035,Lauren Scott,Alex Lewis,Female,1971-10-30,23983-5702574-9,0320-3558552,Widowed,0,20000.0,,Lahore,Punjab,PK7309122379728401,Widow & Orphan Support Program,2019-02-07,NGO Referral,Inactive,Female,Inactive,1971-10-30,False,2019-02-07,False,20000.0,False,False,True,False,address_missing
BEN-000036,Stephanie Gutierrez,Matthew Campbell,Female,1950-12-06,07535-8143745-6,0333-0637539,Single,4,25000.0,18933 Crawford Shore Suite 385,Multan,Punjab,PK4353996124981480,Widow & Orphan Support Program,2019-01-17,Online Portal,Active,Female,Active,1950-12-06,False,2019-01-17,False,25000.0,False,False,False,False,
BEN-000037,Emma Howell,Joshua Galvan,Female,1983-08-01,62965-3974106-6,0302-6469054,Widowed,8,8000.0,53266 Adam Fords Suite 938,Larkana,Sindh,PK7760069863443171,Elderly Pension Program,2023-01-21,NGO Referral,Inactive,Female,Inactive,1983-08-01,False,2023-01-21,False,8000.0,False,False,False,False,
BEN-000038,Jonathan Anderson,Jeffrey White,Male,1966-07-07,18823-7277872-2,,Divorced,7,0.0,1996 Bautista Fort Apt. 386,rawalpindi,Punjab,PK4866069909129031,Widow & Orphan Support Program,2021-10-19,In-Person Center,Active,Male,Active,1966-07-07,False,2021-10-19,False,0.0,False,True,False,False,phone_missing
BEN-000039,Lisa Davis MD,Johnathan Jenkins,Female,1983-03-14,88121-6682803-2,0301-2241938,Divorced,9,25000.0,940 Sanchez Landing Apt. 069,Mardan,Khyber Pakhtunkhwa,PK8926836431583462,Elderly Pension Program,2023-03-23,In-Person Center,Inactive,Female,Inactive,1983-03-14,False,2023-03-23,False,25000.0,False,False,False,False,
BEN-000040,Mr. Richard Santiago,William Henry,Male,20/09/1956,64434-0130049-2,0302-5989701,Single,8,20000.0,9949 Stevens Manor,Larkana,Sindh,PK9482653608179017,Cash Transfer Program,2025-09-02,NGO Referral,Suspended,Male,Suspended,1956-09-20,False,2025-09-02,False,20000.0,False,False,False,False,
BEN-000041,LISA MAY,Michael Maynard,Female,2003-11-07,46960-3143191-8,0301-9105628,Married,6,25000.0,2883 Benjamin Motorway Apt. 317,Multan,Punjab,PK6548403698009464,Cash Transfer Program,2025-01-23,In-Person Center,Active,Female,Active,2003-11-07,False,2025-01-23,False,25000.0,False,False,False,False,
BEN-000042,Julie Jensen,Jonathan Martinez,Female,1945-07-11,93137-0413966-4,0301-5822649,Single,2,0.0,16871 Whitney Cliffs,Hyderabad,Sindh,PK9560561594924597,Flood Relief Assistance,2023-06-23,Mobile Registration Van,Inactive,Female,Inactive,1945-07-11,False,2023-06-23,False,0.0,False,False,False,False,
BEN-000043,Linda Cordova,Phillip Gordon,Female,1952-06-10,52763-7350856-9,0333-5469769,Married,7,8000.0,56513 Edwin Mission Suite 731,Lahore,Punjab,PK3250530242266377,Flood Relief Assistance,2021-11-23,Mobile Registration Van,Active,Female,Active,1952-06-10,False,2021-11-23,False,8000.0,False,False,False,False,
BEN-000044,MARIO HARRIS,Russell Long,Male,1974-09-01,39150-2645515-5,0301-3339738,Married,3,0.0,,Lahore,Punjab,PK5541938165883299,Elderly Pension Program,2025-10-05,In-Person Center,Suspended,Male,Suspended,1974-09-01,False,2025-10-05,False,0.0,False,False,True,False,address_missing
BEN-000045,Christopher Richardson  ,Aaron Winters,MALE,01/02/1961,78002-6996906-6,0301-6784533,Married,1,12000.0,0683 Tiffany Parkway Suite 174,Karachi,Sindh,PK8581201989697137,Disability Support Program,2022-10-27,Online Portal,Active,Male,Active,1961-02-01,False,2022-10-27,False,12000.0,False,False,False,False,
BEN-000046,Kristen Scott,Gregory Nguyen,FEMALE,1985-11-09,01529-1603755-8,,Divorced,9,0.0,967 Rivera Place,Sukkur,Sindh,PK2049549511528793,Elderly Pension Program,2024-03-30,Online Portal,Active,Female,Active,1985-11-09,False,2024-03-30,False,0.0,False,True,False,False,phone_missing
BEN-000047,Ashley Larson,Fernando Ford,Female,1991-06-01,14854-5290268-9,0320-7413433,Single,9,20000.0,8345 Brian Station,Sibi,Balochistan,PK0576732896241772,Disability Support Program,2021-04-03,Mobile Registration Van,Suspended,Female,Suspended,1991-06-01,False,2021-04-03,False,20000.0,False,False,False,False,
BEN-000048,Michael Williams,David Blevins,Male,14/01/2003,65421-6318031-9,0300-8207969,Single,7,20000.0,1830 White Stream,GWADAR,Balochistan,PK3197450986673469,Flood Relief Assistance,2025-05-24,Online Portal,Inactive,Male,Inactive,2003-01-14,False,2025-05-24,False,20000.0,False,False,False,False,
BEN-000049,KATHRYN ROGERS,Jacob Miller,Female,1942-04-20,86243-7146640-3,0303-5615667,Widowed,5,12000.0,230 Stewart Glen,Quetta,Balochistan,PK8262471708245424,Disability Support Program,2022-07-29,Mobile Registration Van,Active,Female,Active,1942-04-20,False,2022-07-29,False,12000.0,False,False,False,False,
BEN-000050,Ashley Hampton,Christopher Patel,Female,1966-04-30,74820-4732717-2,0301-8541905,Married,2,,219 Justin Lodge,Quetta,Balochistan,PK3317483484372950,Elderly Pension Program,2024-11-11,In-Person Center,Active,Female,Active,1966-04-30,False,2024-11-11,False,,True,False,False,False,income_flag
BEN-000051,Kelsey  Singleton,Samuel Murphy,Female,1958-03-13,74861-4271495-2,0333-7929171,Single,2,12000.0,,Bahawalpur,Punjab,PK0366690242077059,Disability Support Program,2019-05-17,NGO Referral,suspended,Female,Suspended,1958-03-13,False,2019-05-17,False,12000.0,False,False,True,False,address_missing
BEN-000052,Jeffrey Jackson,Daniel Brown,Male,1983-02-05,14343-0652314-2,0310-4214575,Divorced,8,20000.0,11315 Lisa Landing Suite 328,Larkana,Sindh,PK5792580438901932,Flood Relief Assistance,2024-09-14,Mobile Registration Van,Active,Male,Active,1983-02-05,False,2024-09-14,False,20000.0,False,False,False,False,
BEN-000053,Emily Hall,Alan Johnson,Female,1982-08-28,68495-6747050-2,0333-0112220,Single,6,8000.0,15237 Jackson Station,Gwadar,Balochistan,PK2420590636974846,Elderly Pension Program,2021-04-22,In-Person Center,Active,Female,Active,1982-08-28,False,2021-04-22,False,8000.0,False,False,False,False,
BEN-000054,Sheila  Moore,Steven Davidson,F,1957-01-24,24752-2548383-8,0300-3074741,Married,1,20000.0,,Peshawar,Khyber Pakhtunkhwa,PK1911747422382517,Disability Support Program,2021-06-20,In-Person Center,Suspended,Female,Suspended,1957-01-24,False,2021-06-20,False,20000.0,False,False,True,False,address_missing
BEN-000055,Stephen Wise,Thomas Johnson,Male,1960-06-09,02303-1036711-3,0345-4997050,Divorced,6,8000.0,61963 Alison Cliff Suite 221,Quetta,Balochistan,PK2471141578299995,Disability Support Program,2024-04-11,Online Portal,Active,Male,Active,1960-06-09,False,2024-04-11,False,8000.0,False,False,False,False,
BEN-000056,Gregory Castillo,Daniel Jordan,Male,2006-09-29,57535-7970836-9,0302-3794886,Married,7,,37228 Stephen Viaduct,Sibi,Balochistan,PK1775830068763711,Widow & Orphan Support Program,2019-05-04,In-Person Center,Active,Male,Active,2006-09-29,False,2019-05-04,False,,True,False,False,False,income_flag
BEN-000057,NICOLAS WILSON,Justin Holt,Male,1947-11-10,25351-6463374-9,0301-3286912,Single,8,20000.0,462 Robin River,Peshawar,Khyber Pakhtunkhwa,PK8025842356122090,Widow & Orphan Support Program,2022-03-04,In-Person Center,Inactive,Male,Inactive,1947-11-10,False,2022-03-04,False,20000.0,False,False,False,False,
BEN-000058,Sherry  Ayala,Anthony Morales,Female,1982-05-20,01344-9162214-8,0301-0161053,Widowed,5,25000.0,35292 Allen Square,Sibi,Balochistan,PK9752782951224831,Cash Transfer Program,2020-12-12,NGO Referral,Active,Female,Active,1982-05-20,False,2020-12-12,False,25000.0,False,False,False,False,
