beneficiary_id,full_name_beneficiary,father_or_husband_name,gender_beneficiary,date_of_birth_beneficiary,cnic,phone_number,marital_status,household_size,monthly_income_pkr,address_line,city,province,bank_account_number,welfare_program,registration_date,registration_channel,status,gender_clean_beneficiary,status_clean,date_of_birth_clean_beneficiary,dob_parse_failed_beneficiary,registration_date_clean,reg_date_parse_failed,monthly_income_clean,income_flag,phone_missing,address_missing_beneficiary,is_duplicate_row,data_quality_flags_beneficiary,national_id_no,full_name_national,gender_national,date_of_birth_national,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean_national,date_of_birth_clean_national,dob_parse_failed_national,id_issue_date_clean,issue_date_parse_failed,address_missing_national,id_status_missing,no_linked_beneficiary,data_quality_flags_national,cnic_mismatch_flag
BEN-000001,Jeffrey Walton,Cody Smith,M,1999-11-05,03468-7831944-0,0303-0093616,Single,7,0.0,16638 Rhonda Passage,Sibi,Balochistan,PK0690252689295763,Disability Support Program,2019-04-10,In-Person Center,Suspended,Male,Suspended,1999-11-05,False,2019-04-10,False,0.0,False,False,False,False,,03468-7831944-0,Jeffrey Walton,Male,1999-11-05,"16638 Rhonda Passage, Sibi, Balochistan",2015-03-06,Active,BEN-000001,Male,1999-11-05,False,2015-03-06,False,False,False,False,,False
BEN-000002,Michael Harrison,Chad Ross,Male,25/01/1980,92449-3600960-6,0310-9190613,Widowed,8,20000.0,7834 Kelsey Motorway,Hyderabad,Sindh,PK6996855092551846,Disability Support Program,2023-08-16,In-Person Center,Active,Male,Active,1980-01-25,False,2023-08-16,False,20000.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
BEN-000003,Adam Merritt,Martin Green,Male,2001-02-21,92025-0493402-1,0345-6399951,Married,2,,68105 Nixon Pass,Karachi,Sindh,PK5725615335184778,Disability Support Program,2019-04-28,Online Portal,Active,Male,Active,2001-02-21,False,2019-04-28,False,,True,False,False,False,income_flag,92025-0493402-1,Adam Merritt,Male,21-02-2001,"68105 Nixon Pass, Karachi, Sindh",2012-01-12,Active,BEN-000003,Male,2001-02-21,False,2012-01-12,False,False,False,False,,False
BEN-000004,Elizabeth Avery,Stephen Park,Female,1979-07-08,45948-4173354-3,0300-2286129,Single,8,20000.0,600 Kelly Isle Suite 352,Swat  ,Khyber Pakhtunkhwa,PK3024329651525933,Disability Support Program,2024-02-12,NGO Referral,Inactive,Female,Inactive,1979-07-08,False,2024-02-12,False,20000.0,False,False,False,False,,45948-4173354-3,Elizabeth Avery,Female,1979-07-08,"600 Kelly Isle Suite 352, Swat, Khyber Pakhtunkhwa",2014-11-03,Active,BEN-000004,Female,1979-07-08,False,2014-11-03,False,False,False,False,,False
BEN-000005,Danny Johnson  ,Michael Martin DVM,Male,1982-09-16,69499-1612446-3,0333-9349102,Married,2,15000.0,037 Julie Ferry Apt. 179,Sibi,Balochistan,PK9875201316155033,Widow & Orphan Support Program,2022-06-09,Mobile Registration Van,Inactive,Male,Inactive,1982-09-16,False,2022-06-09,False,15000.0,False,False,False,False,,66499-1612446-3,Danny Johnson,Male,1982-09-16,"037 Julie Ferry Apt. 179, Sibi",2013-07-27,Active,BEN-000005,Male,1982-09-16,False,2013-07-27,False,False,False,False,,True
BEN-000006,James Odom  ,Jamie Sharp,Male,2002-07-05,12324-3387523-7,0345-7253329,Widowed,6,20000.0,6771 Michele Spring Suite 843,Gwadar,Balochistan,PK3128880517430265,Flood Relief Assistance,2020-11-13,In-Person Center,Active,Male,Active,2002-07-05,False,2020-11-13,False,20000.0,False,False,False,False,,12324-3387523-7,James Odom,Male,2002-07-05,"6771 Michele Spring Suite 843, Gwadar",2015-10-09,Active,BEN-000006,Male,2002-07-05,False,2015-10-09,False,False,False,False,,False
BEN-000007,Cheryl Oconnor,Matthew Decker,Female,1979-02-02,06310-7089665-6,0333-7155857,Divorced,2,20000.0,202 Fisher Dale Apt. 331,Sibi,Balochistan,PK2270945560462584,Elderly Pension Program,2025-04-14,In-Person Center,Suspended,Female,Suspended,1979-02-02,False,2025-04-14,False,20000.0,False,False,False,False,,06310-7089665-6,CHERYL OCONNOR,Female,1979-02-02,"202 Fisher Dale Apt. 331, Sibi",2023-10-20,Expired,BEN-000007,Female,1979-02-02,False,2023-10-20,False,False,False,False,,False
BEN-000008,Raymond Vasquez,John Howard,Male,1992-07-09,52890-1043379-4,0333-9640728,Single,2,12000.0,579 Rebecca Plains Apt. 816,Multan  ,Punjab,PK1377083307012897,Disability Support Program,2020-02-29,NGO Referral,Active,Male,Active,1992-07-09,False,2020-02-29,False,12000.0,False,False,False,False,,52890-1043379-4,Raymond Vasquez,Male,1992-07-09,"Punjab, Multan, 579 Rebecca Plains Apt. 816",2015-02-14,Active,BEN-000008,Male,1992-07-09,False,2015-02-14,False,False,False,False,,False
BEN-000009,Brenda Patel,Wayne Davis MD,Female,1979-06-21,64891-8663791-6,0310-4342476,Married,8,20000.0,78830 Stevens Row Apt. 123,Swat,Khyber Pakhtunkhwa,PK7253106468157431,Flood Relief Assistance,2025-07-01,Mobile Registration Van,Active,Female,Active,1979-06-21,False,2025-07-01,False,20000.0,False,False,False,False,,64891-8663791-6,  Brenda Patel,Female,1979-06-21,"78830 Stevens Row Apt. 123, Swat, Khyber Pakhtunkhwa",2017-06-24,Expired,BEN-000009,Female,1979-06-21,False,2017-06-24,False,False,False,False,,False
BEN-000010,  Alexis Copeland,James Bell,Female,1957-05-03,07728-0580928-2,0301-3420106,Widowed,3,15000.0,61352 Amber Curve Suite 198,Hyderabad,Sindh,PK1271788441058714,Elderly Pension Program,2021-05-24,Mobile Registration Van,Active,Female,Active,1957-05-03,False,2021-05-24,False,15000.0,False,False,False,False,,07728-0580928-2,Alexis Copeland,Female,1957-05-03,"Sindh, Hyderabad, 61352 Amber Curve Suite 198",2021-07-28,Active,BEN-000010,Female,1957-05-03,False,2021-07-28,False,False,False,False,,False
BEN-000011,Shannon Valentine,Tracy Price,Female,2003-11-17,08734-7184320-7,0310-2135213,Married,9,12000.0,367 Wilson Plaza Suite 780,Larkana,Sindh,PK0003086486446905,Cash Transfer Program,2025-09-04,NGO Referral,Inactive,Female,Inactive,2003-11-17,False,2025-09-04,False,12000.0,False,False,False,False,,08734-7184320-7,Shannon Valentine,Female,17-11-2003,"367 Wilson Plaza Suite 780, Larkana",2012-04-01,Active,BEN-000011,Female,2003-11-17,False,2012-04-01,False,False,False,False,,False
BEN-000012,Daniel Clark,James Kirk,Male,1953-05-26,73135-6831560-4,0333-3103822,Widowed,4,12000.0,489 Derek Rapid Suite 691,Sibi,Balochistan,PK4796636070827870,Flood Relief Assistance,2020-05-30,Online Portal,Active,Male,Active,1953-05-26,False,2020-05-30,False,12000.0,False,False,False,False,,73135-6881560-4,Daniel Clark,Male,1953-05-26,"Balochistan, Sibi, 489 Derek Rapid Suite 691",2022-04-22,Active,BEN-000012,Male,1953-05-26,False,2022-04-22,False,False,False,False,,True
BEN-000013,Ronald Harmon,Bryan Thompson,M,2000-04-08,25398-8351327-8,0300-2440204,Married,3,15000.0,7537 Edgar Springs Apt. 355,Faisalabad,Punjab,PK4135566784556173,Elderly Pension Program,2019-11-07,In-Person Center,Inactive,Male,Inactive,2000-04-08,False,2019-11-07,False,15000.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
BEN-000014,Lisa Martin,Scott West,Female,1949-05-31,81798-2736421-8,0320-8444404,Married,6,12000.0,78968 Cook Spring Apt. 403,Faisalabad,Punjab,PK7875811382718213,Flood Relief Assistance,2020-01-05,Mobile Registration Van,Active,Female,Active,1949-05-31,False,2020-01-05,False,12000.0,False,False,False,False,,81798-2736421-8,Lisa Martin,Female,1949-05-31,"78968 Cook Spring Apt. 403, Faisalabad",2017-10-24,Active,BEN-000014,Female,1949-05-31,False,2017-10-24,False,False,False,False,,False
BEN-000015,Beth Gonzalez,Bradley Montes,Female,1951-09-28,86922-8898832-9,0302-8598883,Married,1,0.0,816 Miller Cliff Suite 886,Sibi,Balochistan,PK2182343724136817,Elderly Pension Program,2025-01-17,Online Portal,Active,Female,Active,1951-09-28,False,2025-01-17,False,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,False
