disbursement_id,beneficiary_id,bank_account_number,amount_pkr,disbursement_cycle,disbursement_date,payment_method,branch_or_agent_code,status,status_clean,disbursement_date_clean,disb_date_parse_failed,amount_pkr_clean,amount_flag,payment_method_missing,data_quality_flags,shared_bank_account_flag,orphaned_beneficiary_flag
DSB-0053663,BEN-013641,PK0297733402959029,7500,2025-02,2025-02-03,Mobile Wallet,BR-103,Success,Success,2025-02-03,False,7500.0,False,False,,True,False
DSB-0054282,BEN-006819,PK4880382391902709,8000,2025-04,2025-04-02,Bank Transfer,BR-145,Pending,Pending,2025-04-02,False,8000.0,False,False,,True,False
DSB-0048262,BEN-014619,PK2010750721853305,10000,2025-04,2025-04-25,Cash Pickup,BR-117,Pending,Pending,2025-04-25,False,10000.0,False,False,,True,False
DSB-0038547,BEN-011676,PK7019141883143173,"Rs. 10,000",2025-03,2025-03-05,Cash Pickup,BR-277,Pending,Pending,2025-03-05,False,10000.0,False,False,,True,False
DSB-0045723,BEN-013872,PK2174461311980288,"5,000",2025-07,2025-07-19,Cash Pickup,BR-254,SUCCESS,Success,2025-07-19,False,5000.0,False,False,,True,False
DSB-0020477,BEN-006197,PK4583656722601804,7500,2025-05,2025-05-24,Mobile Wallet,BR-232,Success,Success,2025-05-24,False,7500.0,False,False,,True,False
DSB-0004973,BEN-001545,PK3173313825213373,5000,2025-05,2025-05-25,Bank Transfer,BR-158,Reversed,Reversed,2025-05-25,False,5000.0,False,False,,True,False
DSB-0036763,BEN-011133,PK1353544845566278,"Rs. 5,000",2025-04,2025-04-18,Bank Transfer,BR-108,Success,Success,2025-04-18,False,5000.0,False,False,,True,False
DSB-0005740,BEN-001768,PK0544082249962471,10000,2025-05,,Mobile Wallet,BR-286,Success,Success,,False,10000.0,False,False,,True,False
DSB-0042869,BEN-012979,PK4088264171718591,7500,2025-03,2025-03-01,Bank Transfer,BR-255,Success,Success,2025-03-01,False,7500.0,False,False,,True,False
DSB-0012802,BEN-003867,PK5414580602457481,"6,000",2025-06,2025-06-06,Cash Pickup,BR-148,Success,Success,2025-06-06,False,6000.0,False,False,,True,False
DSB-0008017,BEN-002453,PK9484974254981657,5000,2025-07,2025-07-17,Mobile Wallet,BR-263,Success,Success,2025-07-17,False,5000.0,False,False,,True,False
DSB-0023305,BEN-007007,PK3010374275232910,10000,2025-06,2025-06-04,Bank Transfer,BR-198,Success,Success,2025-06-04,False,10000.0,False,False,,True,False
DSB-0026860,BEN-008135,PK6233796336859105,5000,2025-07,2025-07-06,,BR-170,reversed,Reversed,2025-07-06,False,5000.0,False,True,payment_method_missing,True,False
DSB-0014284,BEN-004296,PK9580259821580792,5000,2025-05,2025-05-24,,BR-256,Reversed,Reversed,2025-05-24,False,5000.0,False,True,payment_method_missing,True,False
DSB-0041074,BEN-012449,PK1855606283152662,120000.0,2025-05,2025-05-08,Bank Transfer,BR-235,Success,Success,2025-05-08,False,,True,False,amount_flag,True,False
DSB-0029529,BEN-008929,PK9333774291224637,10000,2025-07,2025-07-22,Bank Transfer,BR-163,Success,Success,2025-07-22,False,10000.0,False,False,,True,False
DSB-0048230,BEN-014611,PK2022748448075940,"Rs. 10,000",2025-05,2025-05-21,Bank Transfer,BR-201,Success,Success,2025-05-21,False,10000.0,False,False,,True,False
DSB-0003903,BEN-001176,PK9658808604031093,"Rs. 8,000",2025-03,2025-03-15,Mobile Wallet,BR-191,Success,Success,2025-03-15,False,8000.0,False,False,,True,False
DSB-0001391,BEN-000408,PK1435593224677856,8000,2025-02,2025-02-08,Cash Pickup,BR-204,SUCCESS,Success,2025-02-08,False,8000.0,False,False,,True,False
DSB-0012773,BEN-003853,PK2303756434520992,"Rs. 8,000",2025-03,2025-03-17,Bank Transfer,BR-283,SUCCESS,Success,2025-03-17,False,8000.0,False,False,,True,False
DSB-0053087,BEN-007089,PK9194533784760970,8000,2025-05,2025-05-09,Bank Transfer,BR-160,Pending,Pending,2025-05-09,False,8000.0,False,False,,True,False
DSB-0038375,BEN-011622,PK7341909308912034,6000,2025-06,2025-06-14,Cash Pickup,BR-176,success,Success,2025-06-14,False,6000.0,False,False,,True,False
DSB-0005818,BEN-001789,PK6085523781934554,6000,2025-06,2025-06-26,Cash Pickup,BR-297,Success,Success,2025-06-26,False,6000.0,False,False,,True,False
DSB-0019000,BEN-005745,PK8751165811172018,8000,2025-06,2025-06-23,Bank Transfer,BR-212,Success,Success,2025-06-23,False,8000.0,False,False,,True,False
DSB-0021553,BEN-006501,PK7238369688913594,8000,2025-07,2025-07-06,Bank Transfer,BR-172,Success,Success,2025-07-06,False,8000.0,False,False,,True,False
DSB-0021136,BEN-006393,PK5992926500666648,5000,2025-03,2025-03-12,Cash Pickup,BR-142,Success,Success,2025-03-12,False,5000.0,False,False,,True,False
DSB-0048385,BEN-014660,PK7707482954198615,6000,2025-04,2025-04-02,Cash Pickup,BR-136,Success,Success,2025-04-02,False,6000.0,False,False,,True,False
DSB-0045282,BEN-013741,PK4955028694396030,7500,2025-02,2025-02-22,Cash Pickup,BR-214,Reversed,Reversed,2025-02-22,False,7500.0,False,False,,True,False
DSB-0005064,BEN-001575,PK3697567414779703,8000,2025-05,2025-05-12,Mobile Wallet,BR-244,Success,Success,2025-05-12,False,8000.0,False,False,,True,False
DSB-0000961,BEN-000279,PK8874397542990635,10000,2025-07,2025-07-18,Cash Pickup,BR-180,SUCCESS,Success,2025-07-18,False,10000.0,False,False,,True,False
DSB-0046960,BEN-014241,PK4607515892850029,10000,2025-05,2025-05-28,Bank Transfer,BR-294,Reversed,Reversed,2025-05-28,False,10000.0,False,False,,True,False
DSB-0051521,BEN-002213,PK9684002160717087,6000,2025-06,2025-06-11,Cash Pickup,BR-122,Success,Success,2025-06-11,False,6000.0,False,False,,True,False
DSB-0006622,BEN-002016,PK6884880144917321,8000,2025-04,2025-04-01,Cash Pickup,BR-251,SUCCESS,Success,2025-04-01,False,8000.0,False,False,,True,False
DSB-0027633,BEN-008361,PK1001787454042410,10000,2025-06,2025-06-25,Cash Pickup,BR-244,Success,Success,2025-06-25,False,10000.0,False,False,,True,False
DSB-0051832,BEN-011480,PK6333926646026605,6000,2025-02,2025-02-09,Mobile Wallet,BR-277,Reversed,Reversed,2025-02-09,False,6000.0,False,False,,True,False
DSB-0040852,BEN-012375,PK5383930281515794,7500,2025-05,2025-05-07,Bank Transfer,BR-210,Success,Success,2025-05-07,False,7500.0,False,False,,True,False
DSB-0046780,BEN-014184,PK3825153310380683,8000,2025-05,2025-05-16,Cash Pickup,BR-112,Success,Success,2025-05-16,False,8000.0,False,False,,True,False
DSB-0048237,BEN-014612,PK5729866312671298,10000,2025-06,2025-06-06,Bank Transfer,BR-212,Reversed,Reversed,2025-06-06,False,10000.0,False,False,,True,False
DSB-0019162,BEN-005791,PK1943253950368521,8000,2025-03,2025-03-07,Mobile Wallet,BR-119,Success,Success,2025-03-07,False,8000.0,False,False,,True,False
DSB-0031231,BEN-009437,PK1034364301378336,8000,2025-04,2025-04-22,Mobile Wallet,BR-223,Success,Success,2025-04-22,False,8000.0,False,False,,True,False
DSB-0004768,BEN-001465,PK0788765644157868,6000,2025-06,2025-06-03,Cash Pickup,BR-106,Reversed,Reversed,2025-06-03,False,6000.0,False,False,,True,False
DSB-0019904,BEN-006017,PK6175387429809945,10000,2025-06,2025-06-14,Mobile Wallet,BR-113,Success,Success,2025-06-14,False,10000.0,False,False,,True,False
DSB-0018765,BEN-005678,PK3435005781052838,6000,2025-02,2025-02-09,Mobile Wallet,BR-277,Reversed,Reversed,2025-02-09,False,6000.0,False,False,,True,False
DSB-0018648,BEN-005641,PK5604490834505769,6000,2025-02,2025-02-05,Mobile Wallet,BR-169,Pending,Pending,2025-02-05,False,6000.0,False,False,,True,False
DSB-0017792,BEN-005358,PK6748272829973496,6000,2025-07,2025-07-16,Cash Pickup,BR-204,Reversed,Reversed,2025-07-16,False,6000.0,False,False,,True,False
DSB-0023614,BEN-007099,PK9406098384391370,10000,2025-04,2025-04-25,Bank Transfer,BR-169,Success,Success,2025-04-25,False,10000.0,False,False,,True,False
