disbursement_id,beneficiary_id,bank_account_number,amount_pkr,disbursement_cycle,disbursement_date,payment_method,branch_or_agent_code,status,status_clean,disbursement_date_clean,disb_date_parse_failed,amount_pkr_clean,amount_flag,payment_method_missing,data_quality_flags,shared_bank_account_flag,orphaned_beneficiary_flag
DSB-0008382,BEN-002528,PK0207668985895960,10000,2025-06,2025-06-05,Bank Transfer,BR-127,Success,Success,2025-06-05,False,10000.0,False,False,,True,False
DSB-0016776,BEN-002412,PK5482970016871104,7500,2025-04,2025-04-16,Mobile Wallet,BR-266,Success,Success,2025-04-16,False,7500.0,False,False,,True,False
DSB-0007406,BEN-002241,PK0318646678191306,5000,2025-05,2025-05-04,Cash Pickup,BR-215,Success,Success,2025-05-04,False,5000.0,False,False,,True,False
DSB-0013622,BEN-004131,PK6473331803685097,8000,2025-07,2025-07-16,Bank Transfer,BR-248,Success,Success,2025-07-16,False,8000.0,False,False,,True,False
DSB-0016672,BEN-003127,PK7037206931516471,6000,2025-02,2025-02-28,Mobile Wallet,BR-284,Pending,Pending,2025-02-28,False,6000.0,False,False,,True,False
DSB-0009322,BEN-002844,PK3155344216798146,7500,2025-07,2025-07-16,Mobile Wallet,BR-296,Success,Success,2025-07-16,False,7500.0,False,False,,True,False
DSB-0008644,BEN-002607,PK4308118551466627,5000,2025-06,2025-06-17,Cash Pickup,BR-173,Success,Success,2025-06-17,False,5000.0,False,False,,True,False
DSB-0008260,BEN-002497,PK4256748392697254,"Rs. 10,000",2025-02,2025-02-02,Cash Pickup,BR-196,Reversed,Reversed,2025-02-02,False,0.1,False,False,,True,False
DSB-0006460,BEN-001947,PK9410057264700922,10000,2025-07,2025-07-09,Bank Transfer,BR-247,Success,Success,2025-07-09,False,10000.0,False,False,,True,False
DSB-0011444,BEN-003482,PK7266195251864646,10000,2025-02,2025-02-19,Mobile Wallet,BR-278,Success,Success,2025-02-19,False,10000.0,False,False,,True,False
DSB-0009039,BEN-002745,PK8232647340999216,6000,2025-06,2025-06-25,Mobile Wallet,BR-168,Success,Success,2025-06-25,False,6000.0,False,False,,True,False
DSB-0003474,BEN-001062,PK8519945648937062,8000,2025-05,2025-05-16,Cash Pickup,BR-200,Pending,Pending,2025-05-16,False,8000.0,False,False,,True,False
DSB-0000334,BEN-000117,PK6741856261770830,7500,2025-06,2025-06-05,Bank Transfer,BR-125,pending,Pending,2025-06-05,False,7500.0,False,False,,True,False
DSB-0018008,BEN-000233,PK6725144298752954,8000,2025-07,2025-07-09,Cash Pickup,BR-297,success,Success,2025-07-09,False,8000.0,False,False,,True,False
DSB-0015087,BEN-004567,PK7666268336971314,7500,2025-07,2025-07-21,Cash Pickup,BR-136,Success,Success,2025-07-21,False,7500.0,False,False,,True,False
DSB-0017286,BEN-004238,PK5470724343080369,5000,2025-04,2025-04-28,Cash Pickup,BR-297,Pending,Pending,2025-04-28,False,5000.0,False,False,,True,False
DSB-0004584,BEN-001399,PK6081906613805010,10000,2025-03,2025-03-28,Bank Transfer,BR-113,Pending,Pending,2025-03-28,False,10000.0,False,False,,True,False
DSB-0006272,BEN-001888,PK1316391350741878,10000,2025-02,2025-02-25,Mobile Wallet,BR-209,Success,Success,2025-02-25,False,10000.0,False,False,,True,False
DSB-0007530,BEN-002279,PK4268125539883701,7500,2025-06,2025-06-08,Bank Transfer,BR-212,Success,Success,2025-06-08,False,7500.0,False,False,,True,False
DSB-0009393,BEN-002865,PK7502408247871146,8000,2025-03,2025-03-08,Mobile Wallet,BR-124,Success,Success,2025-03-08,False,8000.0,False,False,,True,False
DSB-0005987,BEN-001789,PK2845240436891452,5000,2025-04,2025-04-07,Bank Transfer,BR-266,Success,Success,2025-04-07,False,5000.0,False,False,,True,False
DSB-0009065,BEN-002751,PK5741204477993525,7500,2025-03,2025-03-22,Bank Transfer,BR-121,Pending,Pending,2025-03-22,False,7500.0,False,False,,True,False
DSB-0012089,BEN-003678,PK7315621912420820,7500,2025-05,2025-05-09,Cash Pickup,BR-299,Success,Success,2025-05-09,False,7500.0,False,False,,True,False
DSB-0002309,BEN-000697,PK1336888230256417,"Rs. 7,500",2025-04,2025-04-18,Cash Pickup,BR-218,Pending,Pending,2025-04-18,False,0.75,False,False,,True,False
DSB-0009756,BEN-002981,PK2274735818328366,8000,2025-06,2025-06-23,Mobile Wallet,BR-297,Success,Success,2025-06-23,False,8000.0,False,False,,True,False
DSB-0013134,BEN-003988,PK9480151853465226,8000,2025-05,2025-05-15,Mobile Wallet,BR-226,Success,Success,2025-05-15,False,8000.0,False,False,,True,False
DSB-0004583,BEN-001399,PK6081906613805010,7500,2025-02,,Bank Transfer,BR-207,Succes,Success,,False,7500.0,False,False,,True,False
DSB-0003811,BEN-001153,PK7152715090380674,8000,2025-07,2025-07-08,,BR-128,Success,Success,2025-07-08,False,8000.0,False,True,payment_method_missing,True,False
DSB-0007235,BEN-002188,PK5069287882286396,"Rs. 10,000",2025-06,2025-06-26,Mobile Wallet,BR-162,Reversed,Reversed,2025-06-26,False,0.1,False,False,,True,False
DSB-0015199,BEN-004598,PK3374928029460838,8000,2025-06,2025-06-26,Bank Transfer,BR-283,Success,Success,2025-06-26,False,8000.0,False,False,,True,False
DSB-0001238,BEN-000374,PK2500994228703374,6000,2025-03,2025-03-22,Mobile Wallet,BR-117,Success,Success,2025-03-22,False,6000.0,False,False,,True,False
DSB-0004894,BEN-001481,PK9893393213048379,10000,2025-06,2025-06-15,Cash Pickup,BR-245,Success,Success,2025-06-15,False,10000.0,False,False,,True,False
DSB-0014575,BEN-004405,PK0897817651056502,8000,2025-06,2025-06-04,Cash Pickup,BR-192,Succes,Success,2025-06-04,False,8000.0,False,False,,True,False
DSB-0002006,BEN-000616,PK4791264558579064,10000,2025-03,2025-03-18,Bank Transfer,BR-258,Success,Success,2025-03-18,False,10000.0,False,False,,True,False
DSB-0013514,BEN-004102,PK1480062735475854,5000,2025-07,2025-07-01,Bank Transfer,BR-186,Success,Success,2025-07-01,False,5000.0,False,False,,True,False
DSB-0010158,BEN-003113,PK7637519252072733,"Rs. 7,500",2025-03,2025-03-11,Mobile Wallet,BR-181,Success,Success,2025-03-11,False,0.75,False,False,,True,False
DSB-0016965,BEN-000137,PK5673600404778520,6000,2025-07,2025-07-02,Bank Transfer,BR-284,Success,Success,2025-07-02,False,6000.0,False,False,,True,False
DSB-0000878,BEN-000273,PK0632481696076339,"7,500",2025-02,2025-02-25,Bank Transfer,BR-211,pending,Pending,2025-02-25,False,7500.0,False,False,,True,False
DSB-0010309,BEN-003165,PK2900325394970542,7500,2025-04,2025-04-18,Bank Transfer,BR-104,Pending,Pending,2025-04-18,False,7500.0,False,False,,True,False
DSB-0004015,BEN-001218,PK3852926331974507,7500,2025-03,2025-03-09,Mobile Wallet,BR-159,Success,Success,2025-03-09,False,7500.0,False,False,,True,False
DSB-0014010,BEN-004240,PK4951785936159533,6000,2025-07,2025-07-12,Mobile Wallet,BR-172,Success,Success,2025-07-12,False,6000.0,False,False,,True,False
DSB-0000597,BEN-000195,PK8925419367776687,"Rs. 8,000",2025-05,2025-05-15,Bank Transfer,BR-161,Success,Success,2025-05-15,False,0.8,False,False,,True,False
DSB-0014237,BEN-004308,PK6821738931141885,8000,2025-05,2025-05-23,Bank Transfer,BR-135,Success,Success,2025-05-23,False,8000.0,False,False,,True,False
DSB-0016863,BEN-002621,PK3908401714662318,5000,2025-02,2025-02-06,Cash Pickup,BR-139,Reversed,Reversed,2025-02-06,False,5000.0,False,False,,True,False
DSB-0007264,BEN-002196,PK5636352996054804,"8,000",2025-07,2025-07-17,Cash Pickup,BR-181,Success,Success,2025-07-17,False,8000.0,False,False,,True,False
DSB-0000544,BEN-000180,PK8409169987211042,"Rs. 6,000",2025-03,2025-03-01,Bank Transfer,BR-276,SUCCESS,Success,2025-03-01,False,0.6,False,False,,True,False
DSB-0000042,BEN-000012,PK5318146460485650,7500,2025-06,2025-06-02,Mobile Wallet,BR-254,Success,Success,2025-06-02,False,7500.0,False,False,,True,False
