national_id_no,full_name,gender,date_of_birth,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean,date_of_birth_clean,dob_parse_failed,id_issue_date_clean,issue_date_parse_failed,address_missing,id_status_missing,no_linked_beneficiary,data_quality_flags
19154-1171013-2,Mary BeSt,Female,1956-12-03,"Sindh, Larkana, 1018 Darius Square",2013-02-18,Active,BEN-006059,Female,1956-12-03,False,2013-02-18,False,False,False,False,
26243-7174168-5,Tammy Hamilton,Female,1969-08-19,"16460 Mike Shoal Suite 901, Sibi",2022-04-13,Expired,BEN-014263,Female,1969-08-19,False,2022-04-13,False,False,False,False,
73934-7370863-2,Kevin Brown,Male,1952-01-04,"58783 Glenn Field Apt. 627, Quetta, Balochistan",2015-05-06,Active,BEN-014124,Male,1952-01-04,False,2015-05-06,False,False,False,False,
86577-4426442-2,Victor Stevens,Male,1951-07-14,"982 Christian Mountain Suite 320, Karachi",2014-02-25,Active,BEN-006074,Male,1951-07-14,False,2014-02-25,False,False,False,False,
59228-9568660-1,Teersa Conway,Female,1984-06-19,"45434 Anna Inlet, Gujranwala",2019-06-25,Expired,BEN-009841,Female,1984-06-19,False,2019-06-25,False,False,False,False,
30725-6657065-2,eric spencer,Male,1964-01-08,"8826 Jason Rue, Sukkur, Sindh",2022-05-16,Active,BEN-000920,Male,1964-01-08,False,2022-05-16,False,False,False,False,
81980-5150790-3,Heather Robinson,Female,1952-02-11,"581 Flores Ranch, Mardan",2021-01-30,Active,BEN-007267,Female,1952-02-11,False,2021-01-30,False,False,False,False,
33590-3125061-8,Sean Carson,Male,1979-08-20,"0401 Rodney Tunnel Apt. 650, Sialkot, Punjab",2021-03-19,Active,BEN-008118,Male,1979-08-20,False,2021-03-19,False,False,False,False,
97990-2726879-9,Grace Mason,Female,2008-06-14,,2018-03-30,Active,BEN-001796,Female,2008-06-14,False,2018-03-30,False,True,False,False,address_missing
91645-9363131-5,Bridget Fox,Female,1999-12-11,"924 Ryan Spurs Suite 584, Swat",2023-02-14,Active,BEN-009991,Female,1999-12-11,False,2023-02-14,False,False,False,False,
42952-4325646-1,Jennifer Henderson,Female,2003-11-17,"Punjab, North Barbara, 4471 Brittany Underpass",2019-10-09,Expired,,Female,2003-11-17,False,2019-10-09,False,False,False,True,
64944-5061144-8,Erik Maynard,Male,1987-07-21,"532 Lisa Groves Apt. 742, Karachi",2014-12-09,Expired,BEN-014304,Male,1987-07-21,False,2014-12-09,False,False,False,False,
18685-8434438-9,Christina Cardenas,Female,1985-10-22,"0303 Shaun Estates, Quetta, Balochistan",2019-10-13,Active,BEN-006855,Female,1985-10-22,False,2019-10-13,False,False,False,False,
24537-3989828-3,Stephanie Martin,Female,1992-04-29,"56312 Castillo Terrace, Quetta, Balochistan",2021-11-16,Active,BEN-013615,Female,1992-04-29,False,2021-11-16,False,False,False,False,
37571-0193339-4,Hannah Miller,Female,1965-02-19,"9231 Chelsea Meadow, Mardan, Khyber Pakhtunkhwa",2016-09-07,Active,BEN-011032,Female,1965-02-19,False,2016-09-07,False,False,False,False,
64799-6467716-8,Leon Patterson,Male,1936-01-31,"866 Joseph Summit Apt. 953, Christensenfort",2020-06-21,Active,,Male,1936-01-31,False,2020-06-21,False,False,False,True,
60981-4420072-7,Sara Richardosn,Female,1996-05-17,"54726 Victoria Station Suite 108, Rawalpindi",2018-12-30,Active,BEN-008872,Female,1996-05-17,False,2018-12-30,False,False,False,False,
10586-3998986-6,James Diaz,Male,1946-10-04,"11369 Morton Radial Apt. 342, Quetta, Balochistan",2025-07-02,Active,BEN-011727,Male,1946-10-04,False,2025-07-02,False,False,False,False,
50874-4583806-4,Jessica Wright,Female,2000-09-24,"69237 Hill Creek, Sialkot, Punjab",2011-11-10,Active,BEN-010954,Female,2000-09-24,False,2011-11-10,False,False,False,False,
62043-6810250-7,Lee Ayala,Male,14-03-1977,"Balochistan, Gwadar, 70734 Stephanie Fork",2018-02-12,Expired,BEN-005933,Male,1977-03-14,False,2018-02-12,False,False,False,False,
98016-5345564-5,Michael Kemp,Male,1942-07-15,"Khyber Pakhtunkhwa, Abbottabad, 00299 Miles Forges Apt. 669",2013-05-06,Active,BEN-007501,Male,1942-07-15,False,2013-05-06,False,False,False,False,
61827-7739043-7,Jennifer Williams,Female,1949-11-26,"44439 Powell Tunnel Suite 331, Lake Sydneyborough",2014-10-31,Expired,,Female,1949-11-26,False,2014-10-31,False,False,False,True,
36333-4102622-4,Cody Taylor,Male,1942-06-09,"77255 Wilson Lock, Multan",2019-08-06,,BEN-008340,Male,1942-06-09,False,2019-08-06,False,False,True,False,id_status_missing
29312-0241157-6,Erin Wood,Female,1947-11-30,"Sindh, Larkana, 00657 Laura Street",2020-05-14,Expired,BEN-010860,Female,1947-11-30,False,2020-05-14,False,False,False,False,
33711-6657826-7,Laura Smith,Female,1982-03-08,"01481 Jennifer Street Apt. 652, Quetta, Balochistan",2020-06-01,Active,BEN-011797,Female,1982-03-08,False,2020-06-01,False,False,False,False,
44697-8310510-1,Jennifer Burns,Female,1962-11-26,"75973 Mark Port Apt. 197, Quetta, Balochistan",2016-10-29,Expired,BEN-014215,Female,1962-11-26,False,2016-10-29,False,False,False,False,
12231-3067253-3,Kirk Williams,Male,1948-08-05,"Sindh, Sukkur, 1847 Jamie Spur Apt. 461",2017-11-04,Active,BEN-000208,Male,1948-08-05,False,2017-11-04,False,False,False,False,
86878-0070241-0,Jo Foley,Female,1967-06-01,,2019-06-17,Active,BEN-014190,Female,1967-06-01,False,2019-06-17,False,True,False,False,address_missing
