national_id_no,full_name,gender,date_of_birth,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean,date_of_birth_clean,dob_parse_failed,id_issue_date_clean,issue_date_parse_failed,address_missing,id_status_missing,no_linked_beneficiary,data_quality_flags
11565-4624193-5,SANDRA BLACKWELL,Female,1937-11-28,"21978 Jennifer View, North Sabrina",2017-01-12,Expired,,Female,1937-11-28,False,2017-01-12,False,False,False,True,
53047-9555051-5,Melanie Cruz,Female,2000-04-16,"543 Thompson Trail, Port Jacqueline",2013-10-31,Expired,,Female,2000-04-16,False,2013-10-31,False,False,False,True,
66721-8318701-6,curtis griffin,Male,2007-01-24,"68494 Rose Gardens, Bahawalpur, Punjab",2017-07-10,Active,BEN-002021,Male,2007-01-24,False,2017-07-10,False,False,False,False,
10357-0480707-8,Joshua Willis,Male,2005-08-07,"566 Kimberly Lodge Suite 071, Gwadar, Balochistan",2013-11-28,Expired,BEN-001390,Male,2005-08-07,False,2013-11-28,False,False,False,False,
97206-8426816-4,Mrs. Barbara Adams,Female,1970-05-06,"31400 Jenkins Throughway Apt. 611, Quetta, Balochistan",2023-06-12,Active,BEN-001526,Female,1970-05-06,False,2023-06-12,False,False,False,False,
36538-6435706-7,Richard Wells,Male,04-06-1940,"85545 Cervantes Hill, Lake Paul",2016-05-29,Expired,,Male,1940-06-04,False,2016-05-29,False,False,False,True,
66393-2905366-4,Darrell Little,Male,2005-01-25,"37964 William Island Suite 308, Espinozaberg, Punjab",2025-01-21,Active,,Male,2005-01-25,False,2025-01-21,False,False,False,True,
72410-1378258-0,Grace Sanders,Female,1969-01-10,"779 William Stream, Hyderabad",2015-04-24,Active,BEN-000399,Female,1969-01-10,False,2015-04-24,False,False,False,False,
51175-5507175-3,Tracy Cunningham,Male,05-12-1943,"2662 Ferguson Islands Apt. 184, Quetta",2012-02-15,Expired,BEN-000836,Male,1943-12-05,False,2012-02-15,False,False,False,False,
10093-4890044-3,Mitchell Harding,Male,1978-12-22,"Sindh, Hyderabad, 931 Hill Landing",2021-01-08,Active,BEN-002276,Male,1978-12-22,False,2021-01-08,False,False,False,False,
35131-3897897-2,Robert Grant,Male,1997-04-25,"5722 Jessica Tunnel, Swat",2021-10-06,Active,BEN-002437,Male,1997-04-25,False,2021-10-06,False,False,False,False,
35411-2256669-9,Lee Martinez,Male,1973-09-22,"Punjab, Biancaland, 176 Seth Ramp Apt. 134",2023-01-13,Active,,Male,1973-09-22,False,2023-01-13,False,False,False,True,
