fraud_type,bank_account_number,beneficiary_id,original_beneficiary_id,duplicate_beneficiary_id,run_id
shared_account,PK4837547807862152,BEN-000510,,,
shared_account,PK4837547807862152,BEN-003802,,,
shared_account,PK4718760818437885,BEN-000354,,,
shared_account,PK4718760818437885,BEN-002584,,,
shared_account,PK3347917071837623,BEN-001808,,,
shared_account,PK3347917071837623,BEN-002865,,,
shared_account,PK3347917071837623,BEN-000607,,,
shared_account,PK3347917071837623,BEN-000122,,,
shared_account,PK4592582802253563,BEN-001762,,,
shared_account,PK4592582802253563,BEN-002359,,,
shared_account,PK0449575468569305,BEN-002921,,,
shared_account,PK0449575468569305,BEN-001419,,,
shared_account,PK9984663757251904,BEN-000317,,,
shared_account,PK9984663757251904,BEN-001656,,,
shared_account,PK9984663757251904,BEN-002399,,,
shared_account,PK9984663757251904,BEN-001508,,,
shared_account,PK3227212510579241,BEN-004927,,,
shared_account,PK3227212510579241,BEN-000900,,,
shared_account,PK3227212510579241,BEN-004006,,,
shared_account,PK3227212510579241,BEN-000065,,,
shared_account,PK4128039302195137,BEN-003382,,,
shared_account,PK4128039302195137,BEN-001495,,,
shared_account,PK4128039302195137,BEN-002685,,,
shared_account,PK4128039302195137,BEN-001645,,,
shared_account,PK4608533567660117,BEN-003362,,,
shared_account,PK4608533567660117,BEN-000359,,,
shared_account,PK7037206931516471,BEN-001214,,,
shared_account,PK7037206931516471,BEN-003127,,,
shared_account,PK7037206931516471,BEN-000779,,,
shared_account,PK7037206931516471,BEN-000799,,,
shared_account,PK9129998863235593,BEN-003612,,,
shared_account,PK9129998863235593,BEN-001633,,,
shared_account,PK0066304414124652,BEN-001841,,,
shared_account,PK0066304414124652,BEN-002009,,,
shared_account,PK0066304414124652,BEN-003114,,,
shared_account,PK0066304414124652,BEN-002854,,,
shared_account,PK3630101435814197,BEN-000030,,,
shared_account,PK3630101435814197,BEN-001123,,,
shared_account,PK3630101435814197,BEN-002803,,,
shared_account,PK3630101435814197,BEN-003760,,,
shared_account,PK4180505305002667,BEN-002102,,,
shared_account,PK4180505305002667,BEN-003562,,,
shared_account,PK4180505305002667,BEN-004364,,,
shared_account,PK5482970016871104,BEN-002927,,,
shared_account,PK5482970016871104,BEN-000526,,,
shared_account,PK5482970016871104,BEN-002562,,,
shared_account,PK5482970016871104,BEN-002412,,,
shared_account,PK7036106057642250,BEN-004616,,,
shared_account,PK7036106057642250,BEN-002779,,,
shared_account,PK7036106057642250,BEN-004321,,,
shared_account,PK3566665649804304,BEN-000606,,,
shared_account,PK3566665649804304,BEN-003800,,,
shared_account,PK3566665649804304,BEN-002895,,,
shared_account,PK6168483761343148,BEN-001354,,,
shared_account,PK6168483761343148,BEN-003043,,,
shared_account,PK6168483761343148,BEN-001531,,,
shared_account,PK6168483761343148,BEN-000638,,,
shared_account,PK6880396749086015,BEN-000117,,,
shared_account,PK6880396749086015,BEN-004833,,,
shared_account,PK6880396749086015,BEN-000872,,,
shared_account,PK0522386488904065,BEN-002030,,,
shared_account,PK0522386488904065,BEN-001722,,,
shared_account,PK3908401714662318,BEN-004632,,,
shared_account,PK3908401714662318,BEN-002621,,,
shared_account,PK8447959872746120,BEN-000623,,,
shared_account,PK8447959872746120,BEN-002052,,,
shared_account,PK8316480395880712,BEN-001746,,,
shared_account,PK8316480395880712,BEN-004649,,,
shared_account,PK6428705213911598,BEN-002059,,,
shared_account,PK6428705213911598,BEN-000906,,,
shared_account,PK6428705213911598,BEN-001658,,,
shared_account,PK6428705213911598,BEN-000918,,,
shared_account,PK9979687980520428,BEN-001156,,,
shared_account,PK9979687980520428,BEN-003318,,,
shared_account,PK9979687980520428,BEN-000957,,,
shared_account,PK9979687980520428,BEN-001502,,,
shared_account,PK0030825175164732,BEN-000319,,,
shared_account,PK0030825175164732,BEN-000586,,,
shared_account,PK0030825175164732,BEN-004489,,,
shared_account,PK0030825175164732,BEN-000195,,,
shared_account,PK5673600404778520,BEN-002076,,,
shared_account,PK5673600404778520,BEN-000137,,,
shared_account,PK5673600404778520,BEN-003024,,,
shared_account,PK7493630736052900,BEN-000969,,,
shared_account,PK7493630736052900,BEN-004368,,,
shared_account,PK7493630736052900,BEN-004166,,,
shared_account,PK7493630736052900,BEN-004350,,,
shared_account,PK7323131907747010,BEN-004209,,,
shared_account,PK7323131907747010,BEN-003620,,,
shared_account,PK9843311302371099,BEN-000612,,,
shared_account,PK9843311302371099,BEN-001379,,,
shared_account,PK8094299171927838,BEN-002026,,,
shared_account,PK8094299171927838,BEN-004958,,,
shared_account,PK8094299171927838,BEN-000896,,,
shared_account,PK8094299171927838,BEN-004348,,,
shared_account,PK6495480408324101,BEN-000793,,,
shared_account,PK6495480408324101,BEN-002130,,,
shared_account,PK6684649141474161,BEN-002857,,,
shared_account,PK6684649141474161,BEN-004904,,,
shared_account,PK5180090316537188,BEN-000595,,,
shared_account,PK5180090316537188,BEN-002107,,,
shared_account,PK3934499852071718,BEN-002406,,,
shared_account,PK3934499852071718,BEN-003998,,,
shared_account,PK1942141081499247,BEN-002480,,,
shared_account,PK1942141081499247,BEN-001811,,,
shared_account,PK1942141081499247,BEN-001912,,,
shared_account,PK6395352163101889,BEN-000903,,,
shared_account,PK6395352163101889,BEN-002733,,,
shared_account,PK3788554953361845,BEN-002916,,,
shared_account,PK3788554953361845,BEN-002860,,,
shared_account,PK3788554953361845,BEN-000356,,,
shared_account,PK3788554953361845,BEN-003225,,,
shared_account,PK0800200027086794,BEN-001851,,,
shared_account,PK0800200027086794,BEN-002744,,,
shared_account,PK0800200027086794,BEN-004900,,,
shared_account,PK0800200027086794,BEN-003417,,,
shared_account,PK3085689639423068,BEN-003129,,,
shared_account,PK3085689639423068,BEN-003510,,,
shared_account,PK7973806094028842,BEN-002856,,,
shared_account,PK7973806094028842,BEN-001301,,,
shared_account,PK2400668759303266,BEN-004099,,,
shared_account,PK2400668759303266,BEN-003073,,,
shared_account,PK2400668759303266,BEN-004796,,,
shared_account,PK8331727961021340,BEN-002489,,,
shared_account,PK8331727961021340,BEN-003303,,,
shared_account,PK3683767322791137,BEN-002949,,,
shared_account,PK3683767322791137,BEN-000695,,,
shared_account,PK3683767322791137,BEN-000902,,,
shared_account,PK1551998052482684,BEN-003333,,,
shared_account,PK1551998052482684,BEN-002075,,,
shared_account,PK0984012800681152,BEN-003565,,,
shared_account,PK0984012800681152,BEN-000948,,,
shared_account,PK0984012800681152,BEN-002547,,,
shared_account,PK0984012800681152,BEN-004633,,,
shared_account,PK0803563238433444,BEN-002797,,,
shared_account,PK0803563238433444,BEN-004057,,,
shared_account,PK0803563238433444,BEN-000553,,,
shared_account,PK0803563238433444,BEN-004838,,,
shared_account,PK8523863019878949,BEN-003371,,,
shared_account,PK8523863019878949,BEN-003153,,,
shared_account,PK8523863019878949,BEN-000349,,,
shared_account,PK5470724343080369,BEN-004238,,,
shared_account,PK5470724343080369,BEN-004353,,,
shared_account,PK5470724343080369,BEN-002715,,,
shared_account,PK6802427814450910,BEN-003451,,,
shared_account,PK6802427814450910,BEN-004853,,,
shared_account,PK9207299028610486,BEN-000219,,,
shared_account,PK9207299028610486,BEN-003488,,,
shared_account,PK4166386494433909,BEN-004407,,,
shared_account,PK4166386494433909,BEN-000391,,,
shared_account,PK4166386494433909,BEN-004733,,,
shared_account,PK4166386494433909,BEN-002694,,,
shared_account,PK9289116791223985,BEN-000548,,,
shared_account,PK9289116791223985,BEN-000266,,,
shared_account,PK4519199533716898,BEN-002930,,,
shared_account,PK4519199533716898,BEN-002565,,,
shared_account,PK4519199533716898,BEN-004595,,,
shared_account,PK3092646395160930,BEN-003067,,,
shared_account,PK3092646395160930,BEN-000858,,,
shared_account,PK3092646395160930,BEN-002706,,,
shared_account,PK3878781427401667,BEN-003908,,,
shared_account,PK3878781427401667,BEN-002464,,,
shared_account,PK3878781427401667,BEN-003168,,,
shared_account,PK2527632151505542,BEN-004866,,,
shared_account,PK2527632151505542,BEN-001726,,,
shared_account,PK5901860431632134,BEN-004078,,,
shared_account,PK5901860431632134,BEN-002889,,,
shared_account,PK5901860431632134,BEN-004889,,,
shared_account,PK5901860431632134,BEN-004464,,,
shared_account,PK6958215739016701,BEN-000249,,,
shared_account,PK6958215739016701,BEN-001311,,,
shared_account,PK2823404753805963,BEN-003634,,,
shared_account,PK2823404753805963,BEN-001341,,,
shared_account,PK2823404753805963,BEN-002828,,,
shared_account,PK7524113386726436,BEN-001872,,,
shared_account,PK7524113386726436,BEN-004586,,,
shared_account,PK5112929579689088,BEN-002748,,,
shared_account,PK5112929579689088,BEN-003394,,,
shared_account,PK3734109466078686,BEN-002342,,,
shared_account,PK3734109466078686,BEN-003471,,,
shared_account,PK3734109466078686,BEN-000660,,,
shared_account,PK3734109466078686,BEN-001437,,,
shared_account,PK3636921646212891,BEN-001747,,,
shared_account,PK3636921646212891,BEN-003859,,,
shared_account,PK3636921646212891,BEN-002633,,,
shared_account,PK3636921646212891,BEN-002693,,,
shared_account,PK0185798523709072,BEN-001837,,,
shared_account,PK0185798523709072,BEN-002407,,,
shared_account,PK6857915474832439,BEN-002508,,,
shared_account,PK6857915474832439,BEN-003591,,,
shared_account,PK6515097624707164,BEN-002710,,,
shared_account,PK6515097624707164,BEN-001499,,,
shared_account,PK6515097624707164,BEN-001833,,,
shared_account,PK6515097624707164,BEN-004186,,,
shared_account,PK8116298052194998,BEN-000481,,,
shared_account,PK8116298052194998,BEN-003619,,,
shared_account,PK8533459433694083,BEN-001278,,,
shared_account,PK8533459433694083,BEN-000176,,,
shared_account,PK1401016870249743,BEN-001230,,,
shared_account,PK1401016870249743,BEN-004207,,,
shared_account,PK7130189693009019,BEN-004080,,,
shared_account,PK7130189693009019,BEN-001144,,,
shared_account,PK7130189693009019,BEN-003500,,,
shared_account,PK5499972223148513,BEN-000400,,,
shared_account,PK5499972223148513,BEN-003266,,,
shared_account,PK5499972223148513,BEN-001616,,,
shared_account,PK5499972223148513,BEN-000704,,,
shared_account,PK8789332241547576,BEN-000056,,,
shared_account,PK8789332241547576,BEN-002141,,,
shared_account,PK4627025156851272,BEN-001900,,,
shared_account,PK4627025156851272,BEN-000604,,,
shared_account,PK9678991320737576,BEN-003647,,,
shared_account,PK9678991320737576,BEN-001640,,,
shared_account,PK2134619730385408,BEN-000139,,,
shared_account,PK2134619730385408,BEN-004919,,,
shared_account,PK2134619730385408,BEN-004701,,,
shared_account,PK7192746491115714,BEN-002961,,,
shared_account,PK7192746491115714,BEN-004825,,,
shared_account,PK1912214042945598,BEN-002432,,,
shared_account,PK1912214042945598,BEN-002564,,,
shared_account,PK1912214042945598,BEN-002890,,,
shared_account,PK3908092219880788,BEN-002202,,,
shared_account,PK3908092219880788,BEN-001901,,,
shared_account,PK3908092219880788,BEN-003365,,,
shared_account,PK1609629752384267,BEN-003354,,,
shared_account,PK1609629752384267,BEN-001617,,,
shared_account,PK1609629752384267,BEN-001961,,,
shared_account,PK0254861893833270,BEN-003460,,,
shared_account,PK0254861893833270,BEN-004079,,,
shared_account,PK0254861893833270,BEN-002004,,,
shared_account,PK0254861893833270,BEN-003561,,,
shared_account,PK8943910245920160,BEN-004005,,,
shared_account,PK8943910245920160,BEN-004451,,,
shared_account,PK8943910245920160,BEN-004836,,,
shared_account,PK3601618419407890,BEN-002401,,,
shared_account,PK3601618419407890,BEN-000822,,,
shared_account,PK3601618419407890,BEN-003776,,,
shared_account,PK9661806898403754,BEN-004532,,,
shared_account,PK9661806898403754,BEN-000999,,,
